FIPS,STATE,NNC,NNR,NNN,NNA,NMC,NMR,NMN,NMA,CNC,CNR,CNN,CNA,CMC,CMR,CMN,CMA
18011,Indiana,-64.69,0.00,82.21,-0.94,415.52,490.25,547.10,479.60,261.50,436.90,579.56,414.22,753.96,874.62,1060.21,880.94
18015,Indiana,-73.84,0.00,91.61,-1.63,460.59,540.15,499.62,503.47,244.30,440.32,600.91,415.26,788.03,945.68,1162.71,947.56
18017,Indiana,-66.21,0.00,84.71,-0.82,303.66,395.97,496.49,390.41,221.34,389.62,549.61,373.66,618.15,782.33,904.10,758.15
18019,Indiana,-50.79,0.00,67.02,-0.12,677.76,704.29,694.25,692.93,507.48,656.04,753.28,630.91,1024.41,1127.54,1306.36,1138.01
18021,Indiana,-59.22,0.00,78.48,-0.06,504.78,564.44,654.20,567.06,351.71,500.19,622.81,481.45,911.71,1025.11,1089.30,1003.41
18023,Indiana,-71.01,0.00,89.56,-1.21,308.32,401.23,446.23,381.55,235.74,426.20,583.82,402.25,629.67,826.11,868.03,771.15
18027,Indiana,-62.19,0.00,81.40,-0.31,264.94,342.14,436.77,340.14,414.10,579.65,697.07,553.92,802.77,916.57,1026.54,906.22
18029,Indiana,-54.42,0.00,70.49,-0.46,269.99,331.00,405.00,329.22,422.24,564.14,668.37,542.99,764.73,849.43,981.15,854.23
18031,Indiana,-68.95,0.00,84.43,-1.81,433.03,517.17,588.82,507.10,276.88,449.95,588.64,427.05,800.40,938.33,1072.97,926.12
18033,Indiana,-59.85,0.00,76.20,-0.84,654.48,443.22,477.28,522.17,263.75,418.09,564.02,403.25,952.60,1017.59,1017.69,995.96
18035,Indiana,-65.10,0.00,86.20,-0.08,157.82,239.67,339.35,237.39,388.17,559.70,706.12,539.25,587.52,699.46,872.19,705.47
18037,Indiana,-59.15,0.00,77.48,-0.28,164.17,232.18,317.49,230.91,446.39,611.82,721.43,584.17,668.30,829.76,945.96,805.09
18039,Indiana,-56.31,0.00,79.97,1.29,281.15,236.29,319.47,272.10,222.01,365.50,537.95,360.92,675.24,653.62,751.35,685.33
18041,Indiana,-66.56,0.00,84.99,-0.87,752.50,796.42,903.09,808.53,396.70,573.54,703.09,547.09,1050.36,1191.54,1328.17,1178.75
18043,Indiana,-49.08,0.00,65.78,0.14,485.67,551.82,581.40,537.19,496.41,628.88,725.95,609.07,990.76,1077.56,1196.08,1078.35
18045,Indiana,-67.52,0.00,85.30,-1.11,300.82,376.98,460.09,372.44,329.88,520.02,659.26,491.57,714.84,866.00,1035.83,858.21
18047,Indiana,-59.13,0.00,79.33,0.19,784.77,853.02,924.16,848.11,311.10,467.22,591.83,446.44,995.65,1121.55,1301.55,1124.72
18049,Indiana,-61.29,0.00,78.67,-0.70,172.13,191.17,276.80,206.30,210.24,351.29,518.70,346.26,649.63,770.47,686.98,709.26
18051,Indiana,-60.07,0.00,78.68,-0.29,273.30,340.96,424.72,339.41,479.51,652.59,757.26,621.15,839.48,949.28,1067.71,942.38
18053,Indiana,-68.21,0.00,85.55,-1.28,286.37,304.15,384.09,318.27,292.33,472.68,621.95,450.01,848.14,959.54,905.73,908.92
18055,Indiana,-59.56,0.00,77.36,-0.45,572.58,517.80,540.71,541.80,438.70,599.03,706.32,572.50,1015.96,1130.26,1269.59,1127.11
18057,Indiana,-65.29,0.00,83.04,-0.94,136.89,216.32,314.40,214.44,261.43,436.36,583.97,415.08,453.94,647.21,825.59,627.53
18059,Indiana,-62.19,0.00,83.37,0.18,335.59,422.26,483.08,408.63,391.03,558.45,700.63,538.31,789.85,946.84,886.16,879.31
